city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Washington,38.9072,-77.0369,2026-04-24 00:00:00+00:00,1,186.03,0.1,12.26,51.27,0.7,3.62,4.85,2.73
Washington,38.9072,-77.0369,2026-04-24 01:00:00+00:00,1,191.17,0.0,13.12,44.67,0.64,3.76,5.2,3.16
Washington,38.9072,-77.0369,2026-04-24 02:00:00+00:00,1,192.62,0.0,12.92,42.0,0.57,3.91,5.44,3.12
Washington,38.9072,-77.0369,2026-04-24 03:00:00+00:00,1,190.86,0.0,12.33,43.04,0.57,4.03,5.59,2.99
Washington,38.9072,-77.0369,2026-04-24 04:00:00+00:00,1,181.51,0.0,10.7,45.1,0.6,4.01,5.51,2.79
Washington,38.9072,-77.0369,2026-04-24 05:00:00+00:00,1,173.31,0.0,9.04,43.16,0.56,4.02,5.5,2.77
Washington,38.9072,-77.0369,2026-04-24 06:00:00+00:00,1,163.81,0.0,7.06,41.45,0.49,3.93,5.38,2.84
Washington,38.9072,-77.0369,2026-04-24 07:00:00+00:00,1,152.07,0.0,5.2,40.33,0.41,3.71,5.11,2.94
Washington,38.9072,-77.0369,2026-04-24 08:00:00+00:00,1,143.31,0.0,3.94,40.28,0.36,3.52,4.88,2.92
Washington,38.9072,-77.0369,2026-04-24 09:00:00+00:00,1,137.59,0.0,3.23,41.5,0.35,3.41,4.72,2.66
Washington,38.9072,-77.0369,2026-04-24 10:00:00+00:00,1,133.33,0.0,2.96,43.04,0.38,3.4,4.69,2.36
Washington,38.9072,-77.0369,2026-04-24 11:00:00+00:00,1,135.61,0.01,3.77,43.27,0.43,3.58,4.94,2.24
Washington,38.9072,-77.0369,2026-04-24 12:00:00+00:00,1,145.06,0.5,5.05,43.88,0.52,3.99,5.47,2.13
Washington,38.9072,-77.0369,2026-04-24 13:00:00+00:00,1,152.89,1.09,5.44,48.0,0.67,4.51,6.12,1.95
Washington,38.9072,-77.0369,2026-04-24 14:00:00+00:00,1,152.64,1.31,4.78,53.29,0.86,4.99,6.69,1.79
Washington,38.9072,-77.0369,2026-04-24 15:00:00+00:00,2,147.3,1.03,3.79,63.65,1.14,5.57,7.36,1.66
Washington,38.9072,-77.0369,2026-04-24 16:00:00+00:00,3,128.72,0.19,1.34,115.93,2.2,7.04,8.93,0.89
Washington,38.9072,-77.0369,2026-04-24 17:00:00+00:00,3,124.77,0.11,0.93,122.94,1.87,6.99,8.98,0.85
Washington,38.9072,-77.0369,2026-04-24 18:00:00+00:00,3,123.51,0.09,0.92,123.54,1.66,6.89,8.9,0.87
Washington,38.9072,-77.0369,2026-04-24 19:00:00+00:00,3,124.43,0.1,1.12,123.12,1.56,6.86,8.84,0.94
Washington,38.9072,-77.0369,2026-04-24 20:00:00+00:00,3,126.92,0.14,1.69,119.33,1.46,6.78,8.68,1.05
Washington,38.9072,-77.0369,2026-04-24 21:00:00+00:00,3,131.23,0.2,2.6,115.53,1.39,6.58,8.39,1.19
Washington,38.9072,-77.0369,2026-04-24 22:00:00+00:00,3,138.27,0.22,4.01,106.0,1.36,6.44,8.13,1.41
Washington,38.9072,-77.0369,2026-04-24 23:00:00+00:00,2,146.88,0.14,5.52,94.05,1.38,6.54,8.13,1.65
Washington,38.9072,-77.0369,2026-04-25 00:00:00+00:00,2,156.19,0.02,6.57,86.54,1.46,7.28,8.86,1.87
Washington,38.9072,-77.0369,2026-04-25 01:00:00+00:00,2,167.15,0.0,6.62,82.4,1.46,9.48,11.23,2.09
Washington,38.9072,-77.0369,2026-04-25 02:00:00+00:00,2,181.54,0.0,6.51,82.07,1.44,12.51,14.54,2.21
Washington,38.9072,-77.0369,2026-04-25 03:00:00+00:00,2,192.67,0.0,6.39,82.57,1.38,14.86,17.09,2.09
Washington,38.9072,-77.0369,2026-04-25 04:00:00+00:00,2,195.84,0.0,6.11,79.24,1.26,15.99,18.29,1.81
Washington,38.9072,-77.0369,2026-04-25 05:00:00+00:00,2,196.54,0.0,5.6,73.14,1.03,16.48,18.79,1.48
Washington,38.9072,-77.0369,2026-04-25 06:00:00+00:00,2,194.0,0.0,4.94,66.83,0.83,16.46,18.78,1.12
Washington,38.9072,-77.0369,2026-04-25 07:00:00+00:00,2,188.39,0.0,4.51,56.32,0.56,16.06,18.38,0.82
Washington,38.9072,-77.0369,2026-04-25 08:00:00+00:00,2,182.75,0.0,4.26,44.23,0.35,15.67,18.05,0.77
Washington,38.9072,-77.0369,2026-04-25 09:00:00+00:00,2,177.09,0.0,4.14,34.96,0.25,15.37,17.88,0.94
Washington,38.9072,-77.0369,2026-04-25 10:00:00+00:00,2,173.29,0.0,4.25,28.27,0.22,15.12,17.78,1.05
Washington,38.9072,-77.0369,2026-04-25 11:00:00+00:00,2,178.05,0.03,5.37,23.21,0.2,15.2,18.03,0.86
Washington,38.9072,-77.0369,2026-04-25 12:00:00+00:00,2,189.88,0.36,6.71,22.42,0.25,15.51,18.55,0.74
Washington,38.9072,-77.0369,2026-04-25 13:00:00+00:00,2,189.72,0.86,5.06,39.86,0.55,15.87,19.31,0.83
Washington,38.9072,-77.0369,2026-04-25 14:00:00+00:00,2,188.42,1.13,4.47,46.71,0.63,15.94,19.86,1.01
Washington,38.9072,-77.0369,2026-04-25 15:00:00+00:00,2,184.28,1.11,3.56,57.61,0.74,15.89,20.23,1.18
Washington,38.9072,-77.0369,2026-04-25 16:00:00+00:00,2,174.42,0.16,3.26,81.79,1.13,14.93,19.37,1.26
Washington,38.9072,-77.0369,2026-04-25 17:00:00+00:00,2,168.05,0.07,3.29,85.95,1.27,13.62,17.92,1.32
Washington,38.9072,-77.0369,2026-04-25 18:00:00+00:00,2,163.84,0.06,3.5,86.46,1.36,12.57,16.76,1.35
Washington,38.9072,-77.0369,2026-04-25 19:00:00+00:00,2,166.21,0.1,3.87,86.29,1.51,11.92,15.61,1.44
Washington,38.9072,-77.0369,2026-04-25 20:00:00+00:00,2,168.53,0.13,4.22,82.1,1.49,11.56,14.53,1.48
Washington,38.9072,-77.0369,2026-04-25 21:00:00+00:00,2,172.27,0.12,4.69,76.72,1.41,11.33,13.58,1.25
Washington,38.9072,-77.0369,2026-04-25 22:00:00+00:00,2,173.64,0.11,5.28,66.56,1.29,11.0,12.7,0.98
Washington,38.9072,-77.0369,2026-04-25 23:00:00+00:00,2,178.48,0.05,5.83,56.37,1.22,11.01,12.5,0.77
Washington,38.9072,-77.0369,2026-04-26 00:00:00+00:00,2,181.02,0.01,5.81,49.76,1.12,11.11,12.51,0.66
Washington,38.9072,-77.0369,2026-04-26 01:00:00+00:00,2,180.7,0.0,5.17,47.82,0.95,11.18,12.45,0.61
Washington,38.9072,-77.0369,2026-04-26 02:00:00+00:00,2,179.29,0.0,4.41,49.8,0.75,11.02,12.07,0.52
Washington,38.9072,-77.0369,2026-04-26 03:00:00+00:00,2,175.29,0.0,3.69,53.09,0.58,10.18,11.0,0.44
Washington,38.9072,-77.0369,2026-04-26 04:00:00+00:00,2,162.52,0.0,2.69,64.9,0.53,8.2,8.95,0.38
Washington,38.9072,-77.0369,2026-04-26 05:00:00+00:00,2,155.51,0.0,2.35,67.99,0.54,6.25,7.04,0.36
Washington,38.9072,-77.0369,2026-04-26 06:00:00+00:00,2,151.78,0.0,2.36,68.92,0.58,4.59,5.46,0.34
Washington,38.9072,-77.0369,2026-04-26 07:00:00+00:00,2,149.31,0.0,2.51,69.76,0.66,3.34,4.23,0.32
