city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,-18.8792,47.5079,2026-05-01 00:00:00+00:00,1,80.88,0.0,0.45,24.21,0.07,1.06,2.21,0.26
Antananarivo,-18.8792,47.5079,2026-05-01 01:00:00+00:00,1,74.87,0.0,0.37,27.07,0.08,0.87,1.75,0.22
Antananarivo,-18.8792,47.5079,2026-05-01 02:00:00+00:00,1,71.85,0.0,0.33,28.9,0.07,0.77,1.55,0.2
Antananarivo,-18.8792,47.5079,2026-05-01 03:00:00+00:00,1,70.44,0.0,0.32,30.18,0.07,0.71,1.46,0.19
Antananarivo,-18.8792,47.5079,2026-05-01 04:00:00+00:00,1,70.83,0.0,0.34,31.07,0.09,0.72,1.56,0.22
Antananarivo,-18.8792,47.5079,2026-05-01 05:00:00+00:00,1,72.77,0.04,0.34,30.78,0.11,0.79,1.81,0.29
Antananarivo,-18.8792,47.5079,2026-05-01 06:00:00+00:00,1,74.34,0.06,0.3,31.03,0.12,0.89,2.03,0.35
Antananarivo,-18.8792,47.5079,2026-05-01 07:00:00+00:00,1,68.51,0.05,0.19,34.36,0.11,0.75,1.62,0.26
Antananarivo,-18.8792,47.5079,2026-05-01 08:00:00+00:00,1,66.24,0.04,0.14,34.97,0.11,0.77,1.56,0.25
Antananarivo,-18.8792,47.5079,2026-05-01 09:00:00+00:00,1,65.02,0.03,0.11,34.87,0.11,0.84,1.59,0.25
Antananarivo,-18.8792,47.5079,2026-05-01 10:00:00+00:00,1,64.01,0.03,0.09,37.04,0.11,0.86,1.52,0.25
Antananarivo,-18.8792,47.5079,2026-05-01 11:00:00+00:00,1,63.51,0.03,0.09,38.06,0.11,0.92,1.54,0.25
Antananarivo,-18.8792,47.5079,2026-05-01 12:00:00+00:00,1,63.89,0.03,0.1,37.76,0.12,1.0,1.65,0.28
Antananarivo,-18.8792,47.5079,2026-05-01 13:00:00+00:00,1,68.35,0.04,0.18,35.99,0.14,1.2,2.07,0.4
Antananarivo,-18.8792,47.5079,2026-05-01 14:00:00+00:00,1,75.96,0.04,0.38,32.93,0.16,1.51,2.77,0.59
Antananarivo,-18.8792,47.5079,2026-05-01 15:00:00+00:00,1,84.6,0.0,0.67,30.11,0.18,1.84,3.47,0.7
Antananarivo,-18.8792,47.5079,2026-05-01 16:00:00+00:00,1,98.02,0.0,0.98,26.16,0.21,2.39,4.6,0.81
Antananarivo,-18.8792,47.5079,2026-05-01 17:00:00+00:00,1,117.04,0.0,1.3,22.25,0.24,3.19,6.2,0.84
Antananarivo,-18.8792,47.5079,2026-05-01 18:00:00+00:00,1,133.6,0.0,1.51,19.27,0.25,3.95,7.6,0.79
Antananarivo,-18.8792,47.5079,2026-05-01 19:00:00+00:00,1,145.33,0.0,1.63,16.88,0.25,4.52,8.62,0.75
Antananarivo,-18.8792,47.5079,2026-05-01 20:00:00+00:00,1,150.15,0.0,1.64,15.39,0.21,4.7,8.85,0.57
Antananarivo,-18.8792,47.5079,2026-05-01 21:00:00+00:00,1,145.25,0.0,1.52,14.75,0.15,4.37,8.01,0.39
Antananarivo,-18.8792,47.5079,2026-05-01 22:00:00+00:00,1,132.32,0.0,1.28,14.64,0.11,3.62,6.53,0.33
