city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,48.8566,2.3522,2026-06-01 00:00:00+00:00,2,96.76,0.0,1.0,60.05,0.13,1.63,2.44,3.55
Paris,48.8566,2.3522,2026-06-01 01:00:00+00:00,1,95.54,0.0,1.11,51.07,0.11,1.7,2.53,2.63
Paris,48.8566,2.3522,2026-06-01 02:00:00+00:00,1,93.56,0.0,1.29,38.93,0.08,1.79,2.68,1.8
Paris,48.8566,2.3522,2026-06-01 03:00:00+00:00,1,91.92,0.0,1.47,30.11,0.07,1.88,2.84,1.53
Paris,48.8566,2.3522,2026-06-01 04:00:00+00:00,1,89.79,0.0,1.74,23.98,0.07,1.94,2.97,1.44
Paris,48.8566,2.3522,2026-06-01 05:00:00+00:00,1,90.37,0.03,2.56,20.81,0.09,2.04,3.17,1.35
Paris,48.8566,2.3522,2026-06-01 06:00:00+00:00,1,92.58,0.21,3.58,20.23,0.13,2.16,3.4,1.36
Paris,48.8566,2.3522,2026-06-01 07:00:00+00:00,1,95.14,0.46,3.2,27.03,0.21,2.24,3.66,1.63
Paris,48.8566,2.3522,2026-06-01 08:00:00+00:00,1,95.51,0.79,2.8,28.53,0.25,2.32,3.85,1.85
Paris,48.8566,2.3522,2026-06-01 09:00:00+00:00,1,95.42,0.92,2.34,30.78,0.24,2.44,4.04,2.16
Paris,48.8566,2.3522,2026-06-01 10:00:00+00:00,2,96.44,0.18,1.16,61.83,0.24,2.16,3.54,2.45
Paris,48.8566,2.3522,2026-06-01 11:00:00+00:00,2,95.36,0.1,0.66,69.37,0.17,1.81,2.9,2.19
Paris,48.8566,2.3522,2026-06-01 12:00:00+00:00,2,94.45,0.08,0.52,71.69,0.14,1.73,2.69,2.0
Paris,48.8566,2.3522,2026-06-01 13:00:00+00:00,2,94.87,0.08,0.44,74.95,0.13,1.78,2.67,1.89
Paris,48.8566,2.3522,2026-06-01 14:00:00+00:00,2,94.48,0.08,0.42,77.13,0.11,1.8,2.63,1.77
Paris,48.8566,2.3522,2026-06-01 15:00:00+00:00,2,94.01,0.08,0.45,78.77,0.1,1.8,2.58,1.68
Paris,48.8566,2.3522,2026-06-01 16:00:00+00:00,2,94.36,0.09,0.58,80.36,0.1,1.83,2.58,1.66
Paris,48.8566,2.3522,2026-06-01 17:00:00+00:00,2,94.41,0.08,0.78,79.87,0.11,1.86,2.62,1.71
Paris,48.8566,2.3522,2026-06-01 18:00:00+00:00,2,94.46,0.04,0.95,79.15,0.12,1.88,2.67,1.82
Paris,48.8566,2.3522,2026-06-01 19:00:00+00:00,2,94.96,0.01,1.45,73.38,0.13,1.96,2.81,2.16
Paris,48.8566,2.3522,2026-06-01 20:00:00+00:00,2,96.19,0.0,2.06,64.79,0.15,2.09,3.03,2.62
Paris,48.8566,2.3522,2026-06-01 21:00:00+00:00,1,97.06,0.0,2.48,58.47,0.15,2.19,3.19,2.79
Paris,48.8566,2.3522,2026-06-01 22:00:00+00:00,1,96.43,0.0,2.56,54.62,0.12,2.2,3.21,2.79
Paris,48.8566,2.3522,2026-06-01 23:00:00+00:00,1,96.33,0.0,2.26,54.31,0.1,2.18,3.23,2.9
Paris,48.8566,2.3522,2026-06-02 00:00:00+00:00,1,96.32,0.0,1.83,57.25,0.11,2.2,3.42,3.06
Paris,48.8566,2.3522,2026-06-02 01:00:00+00:00,2,95.84,0.0,1.28,66.34,0.19,2.22,3.83,3.14
Paris,48.8566,2.3522,2026-06-02 02:00:00+00:00,2,95.9,0.0,1.08,66.34,0.22,2.07,3.72,2.62
Paris,48.8566,2.3522,2026-06-02 03:00:00+00:00,2,96.31,0.0,0.98,63.81,0.2,1.78,3.3,1.97
Paris,48.8566,2.3522,2026-06-02 04:00:00+00:00,2,95.66,0.0,0.94,60.07,0.17,1.5,2.89,1.56
Paris,48.8566,2.3522,2026-06-02 05:00:00+00:00,1,95.64,0.0,1.13,56.91,0.15,1.37,2.73,1.44
Paris,48.8566,2.3522,2026-06-02 06:00:00+00:00,1,95.62,0.03,1.42,55.16,0.15,1.43,2.85,1.33
