city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
London,51.5074,-0.1278,2026-07-01 00:00:00+00:00,2,81.95,0.0,5.52,71.58,3.19,2.86,5.76,0.05
London,51.5074,-0.1278,2026-07-01 01:00:00+00:00,2,82.51,0.0,5.09,68.19,2.85,2.69,4.78,0.12
London,51.5074,-0.1278,2026-07-01 02:00:00+00:00,2,83.33,0.0,4.57,65.03,2.52,2.42,3.93,0.21
London,51.5074,-0.1278,2026-07-01 03:00:00+00:00,2,84.62,0.0,4.32,61.79,2.39,2.21,3.48,0.29
London,51.5074,-0.1278,2026-07-01 04:00:00+00:00,1,85.76,0.0,4.42,59.22,2.43,2.11,3.44,0.35
London,51.5074,-0.1278,2026-07-01 05:00:00+00:00,1,86.67,0.02,5.51,55.75,3.0,2.3,3.96,0.44
London,51.5074,-0.1278,2026-07-01 06:00:00+00:00,1,87.21,0.39,6.27,53.19,3.57,2.62,4.68,0.54
London,51.5074,-0.1278,2026-07-01 07:00:00+00:00,1,87.33,1.19,6.59,50.8,4.2,2.97,5.43,0.65
London,51.5074,-0.1278,2026-07-01 08:00:00+00:00,1,87.88,2.14,7.05,48.46,4.92,3.35,6.18,0.76
London,51.5074,-0.1278,2026-07-01 09:00:00+00:00,1,88.42,2.95,7.24,47.43,5.45,3.68,6.79,0.88
London,51.5074,-0.1278,2026-07-01 10:00:00+00:00,1,88.78,3.53,7.54,47.62,5.99,4.02,7.42,0.94
London,51.5074,-0.1278,2026-07-01 11:00:00+00:00,1,88.49,4.03,7.96,47.81,6.58,4.48,8.36,0.93
London,51.5074,-0.1278,2026-07-01 12:00:00+00:00,1,87.65,3.9,7.61,50.85,6.58,4.96,9.32,0.87
London,51.5074,-0.1278,2026-07-01 13:00:00+00:00,1,85.95,3.03,6.73,57.94,6.05,5.3,9.87,0.78
London,51.5074,-0.1278,2026-07-01 14:00:00+00:00,2,84.49,2.04,6.01,66.5,5.43,5.18,9.55,0.69
London,51.5074,-0.1278,2026-07-01 15:00:00+00:00,2,83.31,1.49,5.81,72.2,5.06,4.64,8.68,0.64
London,51.5074,-0.1278,2026-07-01 16:00:00+00:00,2,82.79,1.3,6.0,73.81,4.87,4.02,7.83,0.63
London,51.5074,-0.1278,2026-07-01 17:00:00+00:00,2,82.39,1.13,6.26,73.46,4.65,3.55,7.16,0.63
London,51.5074,-0.1278,2026-07-01 18:00:00+00:00,2,81.72,0.85,6.38,73.04,4.33,3.18,6.53,0.66
London,51.5074,-0.1278,2026-07-01 19:00:00+00:00,2,81.23,0.46,6.49,71.83,3.96,2.81,5.82,0.74
London,51.5074,-0.1278,2026-07-01 20:00:00+00:00,2,81.2,0.12,7.52,67.87,4.13,2.6,5.49,0.83
London,51.5074,-0.1278,2026-07-01 21:00:00+00:00,2,81.45,0.0,8.25,63.04,4.37,2.46,5.26,0.93
London,51.5074,-0.1278,2026-07-01 22:00:00+00:00,1,81.94,0.0,8.77,58.9,4.55,2.37,5.09,1.03
London,51.5074,-0.1278,2026-07-01 23:00:00+00:00,1,82.49,0.0,8.81,55.97,4.55,2.3,5.13,1.01
London,51.5074,-0.1278,2026-07-02 00:00:00+00:00,1,83.14,0.0,8.24,54.84,4.3,2.28,5.4,0.91
London,51.5074,-0.1278,2026-07-02 01:00:00+00:00,1,83.36,0.0,6.9,55.43,3.71,2.29,5.77,0.74
London,51.5074,-0.1278,2026-07-02 02:00:00+00:00,1,83.17,0.0,6.12,55.1,3.36,2.43,6.55,0.5
London,51.5074,-0.1278,2026-07-02 03:00:00+00:00,1,82.7,0.0,5.64,53.6,3.16,2.66,7.6,0.29
London,51.5074,-0.1278,2026-07-02 04:00:00+00:00,1,82.76,0.0,5.16,51.96,3.02,2.93,8.71,0.14
London,51.5074,-0.1278,2026-07-02 05:00:00+00:00,1,82.99,0.0,5.12,50.43,3.03,3.26,9.34,0.06
London,51.5074,-0.1278,2026-07-02 06:00:00+00:00,1,83.31,0.04,5.29,48.55,3.0,3.69,9.22,0.05
London,51.5074,-0.1278,2026-07-02 07:00:00+00:00,1,83.92,0.26,5.24,46.4,2.96,4.1,8.74,0.07
London,51.5074,-0.1278,2026-07-02 08:00:00+00:00,1,84.72,0.71,4.57,44.7,2.87,4.29,8.07,0.12
London,51.5074,-0.1278,2026-07-02 09:00:00+00:00,1,85.62,1.02,3.6,45.04,2.68,4.13,7.17,0.21
London,51.5074,-0.1278,2026-07-02 10:00:00+00:00,1,86.64,1.24,3.05,48.27,2.82,3.95,6.81,0.27
London,51.5074,-0.1278,2026-07-02 11:00:00+00:00,1,87.31,1.45,3.35,52.82,3.47,4.35,8.01,0.3
London,51.5074,-0.1278,2026-07-02 12:00:00+00:00,1,87.62,1.45,3.44,59.06,3.82,4.97,9.61,0.34
London,51.5074,-0.1278,2026-07-02 13:00:00+00:00,2,87.27,1.4,3.43,65.81,4.05,5.59,11.21,0.4
London,51.5074,-0.1278,2026-07-02 14:00:00+00:00,2,86.71,1.36,3.71,71.96,4.32,5.97,12.29,0.47
London,51.5074,-0.1278,2026-07-02 15:00:00+00:00,2,86.44,1.34,4.14,77.48,4.53,5.91,12.41,0.56
London,51.5074,-0.1278,2026-07-02 16:00:00+00:00,2,86.12,1.34,4.88,81.53,4.7,5.53,11.84,0.66
London,51.5074,-0.1278,2026-07-02 17:00:00+00:00,2,85.93,1.34,6.16,83.18,4.92,5.03,10.97,0.74
London,51.5074,-0.1278,2026-07-02 18:00:00+00:00,2,86.29,1.16,7.99,82.22,5.16,4.54,9.98,0.83
London,51.5074,-0.1278,2026-07-02 19:00:00+00:00,2,87.21,0.67,10.17,79.62,5.41,4.05,8.86,0.96
London,51.5074,-0.1278,2026-07-02 20:00:00+00:00,2,88.67,0.15,12.17,75.14,5.74,3.58,7.77,1.18
London,51.5074,-0.1278,2026-07-02 21:00:00+00:00,2,90.23,0.0,13.24,69.5,6.13,3.2,6.92,1.47
London,51.5074,-0.1278,2026-07-02 22:00:00+00:00,2,92.66,0.0,14.5,64.21,6.53,2.94,6.37,1.78
London,51.5074,-0.1278,2026-07-02 23:00:00+00:00,1,94.7,0.0,15.55,58.74,6.75,2.75,5.98,2.11
London,51.5074,-0.1278,2026-07-03 00:00:00+00:00,1,95.83,0.0,15.61,54.3,6.64,2.56,5.55,2.41
London,51.5074,-0.1278,2026-07-03 01:00:00+00:00,1,95.31,0.0,14.19,51.78,6.13,2.31,4.99,2.58
London,51.5074,-0.1278,2026-07-03 02:00:00+00:00,1,95.16,0.0,13.43,49.72,5.9,2.18,4.64,2.6
London,51.5074,-0.1278,2026-07-03 03:00:00+00:00,1,94.83,0.0,12.52,49.09,5.67,2.1,4.4,2.53
London,51.5074,-0.1278,2026-07-03 04:00:00+00:00,1,93.53,0.0,11.14,49.78,5.26,2.03,4.25,2.38
London,51.5074,-0.1278,2026-07-03 05:00:00+00:00,1,92.84,0.02,10.73,49.5,5.19,2.06,4.2,2.25
London,51.5074,-0.1278,2026-07-03 06:00:00+00:00,1,92.34,0.36,10.37,49.46,5.23,2.1,4.15,2.14
London,51.5074,-0.1278,2026-07-03 07:00:00+00:00,1,92.05,1.58,9.88,49.02,5.56,2.2,4.2,2.07
London,51.5074,-0.1278,2026-07-03 08:00:00+00:00,1,92.73,3.34,9.69,48.88,6.32,2.42,4.43,2.1
London,51.5074,-0.1278,2026-07-03 09:00:00+00:00,1,93.78,4.68,9.66,50.09,7.22,2.72,4.77,2.17
London,51.5074,-0.1278,2026-07-03 10:00:00+00:00,1,94.61,5.44,10.01,52.44,8.41,3.16,5.3,2.16
London,51.5074,-0.1278,2026-07-03 11:00:00+00:00,1,95.79,6.08,11.05,55.38,10.31,4.2,6.49,2.03
London,51.5074,-0.1278,2026-07-03 12:00:00+00:00,1,97.16,6.81,12.48,58.67,12.7,6.34,8.73,1.74
London,51.5074,-0.1278,2026-07-03 13:00:00+00:00,2,98.6,7.39,14.23,61.71,15.15,8.96,11.37,1.38
London,51.5074,-0.1278,2026-07-03 14:00:00+00:00,2,99.64,7.46,15.84,63.58,16.7,10.97,13.44,1.06
London,51.5074,-0.1278,2026-07-03 15:00:00+00:00,2,99.38,6.56,16.44,67.23,16.28,11.05,13.66,0.94
London,51.5074,-0.1278,2026-07-03 16:00:00+00:00,2,97.91,4.91,15.35,73.82,13.93,9.68,12.48,0.94
London,51.5074,-0.1278,2026-07-03 17:00:00+00:00,2,97.07,3.96,15.54,76.45,12.44,8.96,12.17,0.95
London,51.5074,-0.1278,2026-07-03 18:00:00+00:00,2,96.42,2.73,15.6,78.52,10.8,8.12,11.74,0.98
London,51.5074,-0.1278,2026-07-03 19:00:00+00:00,2,95.91,1.31,16.01,79.19,9.4,7.56,11.46,0.97
London,51.5074,-0.1278,2026-07-03 20:00:00+00:00,2,95.34,0.24,16.26,77.83,8.46,6.9,10.86,0.92
London,51.5074,-0.1278,2026-07-03 21:00:00+00:00,2,95.24,0.0,15.13,76.4,7.88,6.34,10.23,0.84
London,51.5074,-0.1278,2026-07-03 22:00:00+00:00,2,95.7,0.0,14.65,76.08,7.58,6.14,9.94,0.79
London,51.5074,-0.1278,2026-07-03 23:00:00+00:00,2,96.18,0.0,14.83,76.09,7.6,6.38,10.27,0.75
London,51.5074,-0.1278,2026-07-04 00:00:00+00:00,2,96.2,0.0,15.35,74.76,7.72,6.84,11.11,0.74
London,51.5074,-0.1278,2026-07-04 01:00:00+00:00,2,95.1,0.0,15.16,71.04,7.44,7.04,11.86,0.86
