city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Moscow,55.7558,37.6173,2026-07-01 00:00:00+00:00,1,72.79,0.0,1.04,19.98,0.15,1.29,1.39,0.31
Moscow,55.7558,37.6173,2026-07-01 01:00:00+00:00,1,70.86,0.01,1.07,16.98,0.15,1.31,1.41,0.2
Moscow,55.7558,37.6173,2026-07-01 02:00:00+00:00,1,70.18,0.02,1.15,15.5,0.17,1.36,1.46,0.16
Moscow,55.7558,37.6173,2026-07-01 03:00:00+00:00,1,71.63,0.22,1.19,16.11,0.23,1.46,1.57,0.15
Moscow,55.7558,37.6173,2026-07-01 04:00:00+00:00,1,75.05,0.58,1.22,18.18,0.31,1.59,1.7,0.17
Moscow,55.7558,37.6173,2026-07-01 05:00:00+00:00,1,77.64,0.87,1.24,19.55,0.36,1.72,1.84,0.2
Moscow,55.7558,37.6173,2026-07-01 06:00:00+00:00,1,77.74,0.74,1.15,24.66,0.41,1.96,2.09,0.22
Moscow,55.7558,37.6173,2026-07-01 07:00:00+00:00,1,77.31,0.22,0.65,47.79,0.67,2.28,2.4,0.16
Moscow,55.7558,37.6173,2026-07-01 08:00:00+00:00,1,77.67,0.13,0.44,56.19,0.68,2.42,2.52,0.15
Moscow,55.7558,37.6173,2026-07-01 09:00:00+00:00,2,78.29,0.09,0.37,61.52,0.59,2.38,2.47,0.16
Moscow,55.7558,37.6173,2026-07-01 10:00:00+00:00,2,80.16,0.06,0.27,71.53,0.4,1.83,1.91,0.15
Moscow,55.7558,37.6173,2026-07-01 11:00:00+00:00,2,80.44,0.05,0.26,77.77,0.32,1.52,1.58,0.14
Moscow,55.7558,37.6173,2026-07-01 12:00:00+00:00,2,80.71,0.05,0.28,81.24,0.31,1.47,1.55,0.13
Moscow,55.7558,37.6173,2026-07-01 13:00:00+00:00,2,82.03,0.06,0.33,84.65,0.34,1.58,1.66,0.13
Moscow,55.7558,37.6173,2026-07-01 14:00:00+00:00,2,83.17,0.06,0.4,86.75,0.4,1.82,1.92,0.13
Moscow,55.7558,37.6173,2026-07-01 15:00:00+00:00,2,84.14,0.06,0.46,88.77,0.49,2.11,2.22,0.14
