time_id,full_datetime,date,hour,day_of_week,day_name,is_weekend,day,month,year
1,2026-04-24 00:00:00+00:00,2026-04-24,0,4,Vendredi,False,24,4,2026
2,2026-04-24 01:00:00+00:00,2026-04-24,1,4,Vendredi,False,24,4,2026
3,2026-04-24 02:00:00+00:00,2026-04-24,2,4,Vendredi,False,24,4,2026
4,2026-04-24 03:00:00+00:00,2026-04-24,3,4,Vendredi,False,24,4,2026
5,2026-04-24 04:00:00+00:00,2026-04-24,4,4,Vendredi,False,24,4,2026
6,2026-04-24 05:00:00+00:00,2026-04-24,5,4,Vendredi,False,24,4,2026
7,2026-04-24 06:00:00+00:00,2026-04-24,6,4,Vendredi,False,24,4,2026
8,2026-04-24 07:00:00+00:00,2026-04-24,7,4,Vendredi,False,24,4,2026
9,2026-04-24 08:00:00+00:00,2026-04-24,8,4,Vendredi,False,24,4,2026
10,2026-04-24 09:00:00+00:00,2026-04-24,9,4,Vendredi,False,24,4,2026
11,2026-04-24 10:00:00+00:00,2026-04-24,10,4,Vendredi,False,24,4,2026
12,2026-04-24 11:00:00+00:00,2026-04-24,11,4,Vendredi,False,24,4,2026
13,2026-04-24 12:00:00+00:00,2026-04-24,12,4,Vendredi,False,24,4,2026
14,2026-04-24 13:00:00+00:00,2026-04-24,13,4,Vendredi,False,24,4,2026
15,2026-04-24 14:00:00+00:00,2026-04-24,14,4,Vendredi,False,24,4,2026
16,2026-04-24 15:00:00+00:00,2026-04-24,15,4,Vendredi,False,24,4,2026
17,2026-04-24 16:00:00+00:00,2026-04-24,16,4,Vendredi,False,24,4,2026
18,2026-04-24 17:00:00+00:00,2026-04-24,17,4,Vendredi,False,24,4,2026
19,2026-04-24 18:00:00+00:00,2026-04-24,18,4,Vendredi,False,24,4,2026
20,2026-04-24 19:00:00+00:00,2026-04-24,19,4,Vendredi,False,24,4,2026
21,2026-04-24 20:00:00+00:00,2026-04-24,20,4,Vendredi,False,24,4,2026
22,2026-04-24 21:00:00+00:00,2026-04-24,21,4,Vendredi,False,24,4,2026
23,2026-04-24 22:00:00+00:00,2026-04-24,22,4,Vendredi,False,24,4,2026
24,2026-04-24 23:00:00+00:00,2026-04-24,23,4,Vendredi,False,24,4,2026
25,2026-04-25 00:00:00+00:00,2026-04-25,0,5,Samedi,True,25,4,2026
26,2026-04-25 01:00:00+00:00,2026-04-25,1,5,Samedi,True,25,4,2026
27,2026-04-25 02:00:00+00:00,2026-04-25,2,5,Samedi,True,25,4,2026
28,2026-04-25 03:00:00+00:00,2026-04-25,3,5,Samedi,True,25,4,2026
29,2026-04-25 04:00:00+00:00,2026-04-25,4,5,Samedi,True,25,4,2026
30,2026-04-25 05:00:00+00:00,2026-04-25,5,5,Samedi,True,25,4,2026
31,2026-04-25 06:00:00+00:00,2026-04-25,6,5,Samedi,True,25,4,2026
32,2026-04-25 07:00:00+00:00,2026-04-25,7,5,Samedi,True,25,4,2026
33,2026-04-25 08:00:00+00:00,2026-04-25,8,5,Samedi,True,25,4,2026
34,2026-04-25 09:00:00+00:00,2026-04-25,9,5,Samedi,True,25,4,2026
35,2026-04-25 10:00:00+00:00,2026-04-25,10,5,Samedi,True,25,4,2026
36,2026-04-25 11:00:00+00:00,2026-04-25,11,5,Samedi,True,25,4,2026
37,2026-04-25 12:00:00+00:00,2026-04-25,12,5,Samedi,True,25,4,2026
38,2026-04-25 13:00:00+00:00,2026-04-25,13,5,Samedi,True,25,4,2026
39,2026-04-25 14:00:00+00:00,2026-04-25,14,5,Samedi,True,25,4,2026
40,2026-04-25 15:00:00+00:00,2026-04-25,15,5,Samedi,True,25,4,2026
41,2026-04-25 16:00:00+00:00,2026-04-25,16,5,Samedi,True,25,4,2026
42,2026-04-25 17:00:00+00:00,2026-04-25,17,5,Samedi,True,25,4,2026
43,2026-04-25 18:00:00+00:00,2026-04-25,18,5,Samedi,True,25,4,2026
44,2026-04-25 19:00:00+00:00,2026-04-25,19,5,Samedi,True,25,4,2026
45,2026-04-25 20:00:00+00:00,2026-04-25,20,5,Samedi,True,25,4,2026
46,2026-04-25 21:00:00+00:00,2026-04-25,21,5,Samedi,True,25,4,2026
47,2026-04-25 22:00:00+00:00,2026-04-25,22,5,Samedi,True,25,4,2026
48,2026-04-25 23:00:00+00:00,2026-04-25,23,5,Samedi,True,25,4,2026
49,2026-04-26 00:00:00+00:00,2026-04-26,0,6,Dimanche,True,26,4,2026
50,2026-04-26 01:00:00+00:00,2026-04-26,1,6,Dimanche,True,26,4,2026
51,2026-04-26 02:00:00+00:00,2026-04-26,2,6,Dimanche,True,26,4,2026
