fact_id,city_id,time_id,observed_at,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1,1,1,2026-04-24 00:00:00+00:00,1,86.43,0.0,0.58,15.94,0.07,1.35,2.94,0.32
2,2,1,2026-04-24 00:00:00+00:00,3,135.71,0.0,4.68,107.34,3.24,4.51,7.93,1.4
3,3,1,2026-04-24 00:00:00+00:00,2,139.95,0.0,3.16,78.68,1.44,0.5,0.5,0.3
4,4,1,2026-04-24 00:00:00+00:00,2,136.81,0.0,2.03,95.36,0.81,5.85,6.62,13.2
5,5,1,2026-04-24 00:00:00+00:00,1,186.03,0.1,12.26,51.27,0.7,3.62,4.85,2.73
6,1,2,2026-04-24 01:00:00+00:00,1,87.09,0.0,0.6,14.93,0.07,1.39,2.94,0.34
7,2,2,2026-04-24 01:00:00+00:00,3,135.51,0.0,4.88,103.76,3.38,5.28,8.68,1.39
8,3,2,2026-04-24 01:00:00+00:00,2,139.42,0.0,2.38,78.17,1.4,0.5,0.5,0.31
9,4,2,2026-04-24 01:00:00+00:00,2,136.16,0.0,1.91,91.17,0.76,6.48,7.26,13.71
10,5,2,2026-04-24 01:00:00+00:00,1,191.17,0.0,13.12,44.67,0.64,3.76,5.2,3.16
11,1,3,2026-04-24 02:00:00+00:00,1,87.21,0.0,0.6,14.71,0.07,1.41,2.91,0.31
12,2,3,2026-04-24 02:00:00+00:00,3,135.82,0.0,5.02,100.54,3.48,5.99,9.48,1.44
13,3,3,2026-04-24 02:00:00+00:00,2,139.69,0.0,2.01,77.62,1.38,0.5,0.5,0.3
14,4,3,2026-04-24 02:00:00+00:00,2,137.16,0.0,1.87,87.19,0.71,7.16,7.97,14.37
15,5,3,2026-04-24 02:00:00+00:00,1,192.62,0.0,12.92,42.0,0.57,3.91,5.44,3.12
16,1,4,2026-04-24 03:00:00+00:00,1,87.33,0.0,0.61,15.29,0.07,1.41,2.93,0.3
17,2,4,2026-04-24 03:00:00+00:00,2,135.75,0.0,5.1,97.24,3.54,6.89,10.47,1.46
18,3,4,2026-04-24 03:00:00+00:00,2,140.79,0.0,2.11,77.08,1.48,0.5,0.5,0.34
19,4,4,2026-04-24 03:00:00+00:00,2,137.99,0.0,1.92,82.78,0.67,7.88,8.72,15.17
20,5,4,2026-04-24 03:00:00+00:00,1,190.86,0.0,12.33,43.04,0.57,4.03,5.59,2.99
21,1,5,2026-04-24 04:00:00+00:00,1,87.92,0.03,0.59,17.01,0.09,1.41,3.23,0.34
22,2,5,2026-04-24 04:00:00+00:00,2,135.67,0.0,5.18,94.24,3.54,7.83,11.44,1.44
23,3,5,2026-04-24 04:00:00+00:00,2,140.23,0.09,2.73,75.4,1.66,0.5,0.5,0.4
24,4,5,2026-04-24 04:00:00+00:00,2,138.11,0.0,2.12,77.22,0.64,8.61,9.49,15.79
